Evaluation over 1000 episodes
Success rate: 73.20%
Average episode length: 43.93 steps

Episode 412: steps=7, success=True
Episode 413: steps=58, success=False
Episode 414: steps=11, success=True
Episode 415: steps=89, success=True
Episode 416: steps=11, success=True
Episode 417: steps=22, success=True
Episode 418: steps=13, success=True
Episode 419: steps=27, success=True
Episode 420: steps=97, success=True
Episode 421: steps=59, success=True
Episode 422: steps=25, success=True
Episode 423: steps=38, success=True
Episode 424: steps=46, success=True
Episode 425: steps=39, success=False
Episode 426: steps=100, success=False
Episode 427: steps=70, success=True
Episode 428: steps=34, success=False
Episode 429: steps=15, success=False
Episode 430: steps=13, success=True
Episode 431: steps=27, success=True
Episode 432: steps=56, success=True
Episode 433: steps=15, success=True
Episode 434: steps=17, success=True
Episode 435: steps=14, success=False
Episode 436: steps=100, success=False
Episode 437: steps=93, success=True
Episode 438: steps=52, success=False
Episode 439: steps=100, success=False
Episode 440: steps=25, success=True
Episode 441: steps=100, success=False
Episode 442: steps=22, success=True
Episode 443: steps=27, success=True
Episode 444: steps=19, success=False
Episode 445: steps=25, success=True
Episode 446: steps=16, success=False
Episode 447: steps=31, success=False
Episode 448: steps=46, success=True
Episode 449: steps=29, success=True
Episode 450: steps=100, success=False
Episode 451: steps=62, success=True
Episode 452: steps=56, success=True
Episode 453: steps=43, success=True
Episode 454: steps=29, success=False
Episode 455: steps=34, success=False
Episode 456: steps=12, success=True
Episode 457: steps=23, success=True
Episode 458: steps=33, success=True
Episode 459: steps=40, success=False
Episode 460: steps=100, success=False
Episode 461: steps=59, success=False
Episode 462: steps=19, success=True
Episode 463: steps=66, success=True
Episode 464: steps=52, success=True
Episode 465: steps=50, success=True
Episode 466: steps=54, success=True
Episode 467: steps=34, success=True
Episode 468: steps=13, success=True
Episode 469: steps=38, success=True
Episode 470: steps=22, success=True
Episode 471: steps=96, success=False
Episode 472: steps=36, success=True
Episode 473: steps=19, success=True
Episode 474: steps=52, success=True
Episode 475: steps=66, success=True
Episode 476: steps=19, success=True
Episode 477: steps=77, success=False
Episode 478: steps=49, success=True
Episode 479: steps=25, success=False
Episode 480: steps=18, success=False
Episode 481: steps=18, success=True
Episode 482: steps=32, success=True
Episode 483: steps=31, success=True
Episode 484: steps=100, success=False
Episode 485: steps=73, success=True
Episode 486: steps=16, success=True
Episode 487: steps=21, success=True
Episode 488: steps=18, success=True
Episode 489: steps=65, success=True
Episode 490: steps=77, success=False
Episode 491: steps=33, success=True
Episode 492: steps=100, success=False
Episode 493: steps=58, success=True
Episode 494: steps=62, success=False
Episode 495: steps=100, success=False
Episode 496: steps=78, success=True
Episode 497: steps=33, success=True
Episode 498: steps=36, success=True
Episode 499: steps=12, success=True
Episode 500: steps=15, success=True
Episode 501: steps=100, success=False
Episode 502: steps=47, success=False
Episode 503: steps=100, success=False
Episode 504: steps=7, success=True
Episode 505: steps=24, success=True
Episode 506: steps=28, success=True
Episode 507: steps=42, success=True
Episode 508: steps=20, success=True
Episode 509: steps=42, success=False
Episode 510: steps=14, success=False
Episode 511: steps=70, success=False
Episode 512: steps=100, success=False
Episode 513: steps=15, success=True
Episode 514: steps=90, success=True
Episode 515: steps=75, success=True
Episode 516: steps=50, success=True
Episode 517: steps=35, success=True
Episode 518: steps=17, success=True
Episode 519: steps=12, success=False
Episode 520: steps=23, success=True
Episode 521: steps=45, success=True
Episode 522: steps=48, success=True
Episode 523: steps=81, success=True
Episode 524: steps=23, success=False
Episode 525: steps=18, success=True
Episode 526: steps=69, success=True
Episode 527: steps=21, success=True
Episode 528: steps=26, success=True
Episode 529: steps=51, success=True
Episode 530: steps=22, success=False
Episode 531: steps=16, success=False
Episode 532: steps=35, success=True
Episode 533: steps=79, success=True
Episode 534: steps=40, success=True
Episode 535: steps=33, success=True
Episode 536: steps=23, success=True
Episode 537: steps=67, success=True
Episode 538: steps=18, success=True
Episode 539: steps=8, success=False
Episode 540: steps=75, success=True
Episode 541: steps=65, success=True
Episode 542: steps=36, success=False
Episode 543: steps=12, success=True
Episode 544: steps=24, success=True
Episode 545: steps=28, success=True
Episode 546: steps=100, success=False
Episode 547: steps=33, success=True
Episode 548: steps=65, success=True
Episode 549: steps=96, success=False
Episode 550: steps=6, success=True
Episode 551: steps=48, success=False
Episode 552: steps=92, success=True
Episode 553: steps=44, success=False
Episode 554: steps=42, success=True
Episode 555: steps=14, success=True
Episode 556: steps=13, success=True
Episode 557: steps=100, success=False
Episode 558: steps=27, success=True
Episode 559: steps=34, success=True
